dataset,target,encoder,model,input_features,output_features,fit_encoder_time,score_encoder_time,fit_model_time,score_model_time,test_matthews,train_matthews,test_auc,train_auc,test_brier,train_brier
bridges.version2.arff,TYPE,HashingEncoder,RandomForestClassifier,12,10,0.06927220821380616,0.012191557884216308,0.8300687074661255,0.04498493671417236,0.5838867667124642,0.982889280096224,0.8825,0.9998165846499181,0.1431638515144197,0.022031257679111415
bridges.version2.arff,TYPE,HashingEncoder,MLPClassifier,12,10,0.06927220821380616,0.012191557884216308,0.19633135795593262,0.00016062259674072267,0.42719802621550357,0.900529104489013,0.8346428571428574,0.9885455408788741,0.17868657221102988,0.05363457855273272
bridges.version2.arff,TYPE,OrdinalEncoder,SGDClassifier,12,12,0.0569765567779541,0.026172876358032227,0.0005534648895263672,0.00010066032409667968,0.623145485913664,0.576344014461706,0.7990476190476191,0.7885849520849522,0.19954545454545453,0.2088893832539645
bridges.version2.arff,TYPE,OrdinalEncoder,LogisticRegression,12,12,0.0569765567779541,0.026172876358032227,0.0008226156234741211,9.250640869140625e-05,0.6122722745620572,0.755223524126847,0.8736904761904762,0.93608547008547,0.14492440737428397,0.100467396502777
bridges.version2.arff,TYPE,OrdinalEncoder,SVC,12,12,0.0569765567779541,0.026172876358032227,0.0019491195678710937,0.00013699531555175782,0.6534679275232419,0.8111089613385042,0.8991666666666667,0.9571298454631789,0.13746977122683454,0.0919916234252763
bridges.version2.arff,TYPE,OrdinalEncoder,KNeighborsClassifier,12,12,0.0569765567779541,0.026172876358032227,0.00045003890991210935,0.0005422592163085938,0.6869750520628173,0.7838084664108164,0.8904166666666666,0.9451421479754814,0.13724848484848487,0.08934981998579154
bridges.version2.arff,TYPE,OrdinalEncoder,GaussianNB,12,12,0.0569765567779541,0.026172876358032227,0.000842881202697754,0.00030863285064697266,0.5575860229056413,0.6334323089115026,0.8839285714285715,0.9084374946041613,0.18826275986100366,0.14443302064968433
bridges.version2.arff,TYPE,OrdinalEncoder,DecisionTreeClassifier,12,12,0.0569765567779541,0.026172876358032227,0.0004949808120727539,0.0001196146011352539,0.5919605181775449,0.8765558415548644,0.7742261904761906,0.9811400543900545,0.21313803567830222,0.04520544175866308
bridges.version2.arff,TYPE,OrdinalEncoder,GradientBoostingClassifier,12,12,0.0569765567779541,0.026172876358032227,0.394389009475708,0.0011023998260498047,0.5797957635732179,1.0,0.8978571428571428,1.0,0.19587101320575714,9.799025449322746e-08
bridges.version2.arff,TYPE,OrdinalEncoder,RandomForestClassifier,12,12,0.0569765567779541,0.026172876358032227,0.8773564338684082,0.05078458786010742,0.5980976526945696,1.0,0.8954761904761905,1.0,0.13334120606060604,0.01735099409649725
bridges.version2.arff,TYPE,OrdinalEncoder,MLPClassifier,12,12,0.0569765567779541,0.026172876358032227,0.19680817127227784,0.0001682281494140625,0.6851070304003742,0.9053796679827772,0.9080952380952381,0.9904885608218942,0.13083451547662023,0.04120547975049348
